# timestamps [seconds],pts
38831.915728,897805
38831.947796,899906
38831.983827,902268
38832.015799,904363
38832.051808,906723
38832.083810,908820
38832.115719,910911
38832.152098,913295
38832.183813,915374
38832.215897,917476
38832.251784,919828
38832.283779,921925
38832.319867,924290
38832.351814,926384
38832.383922,928488
38832.419775,930837
38832.451829,932938
38832.483790,935033
38832.519904,937399
38832.551917,939497
38832.587780,941848
38832.619828,943948
38832.651768,946041
38832.687823,948404
38832.719972,950511
38832.755779,952857
38832.787787,954955
38832.819749,957050
38832.855881,959418
38832.887926,961518
38832.919865,963611
38832.955723,965961
38832.987765,968061
38833.023824,970424
38833.055753,972516
38833.087837,974619
38833.123760,976973
38833.155809,979073
38833.187706,981164
38833.223899,983536
38833.256068,985644
38833.291967,987997
38833.323773,990081
38833.355800,992180
38833.391881,994544
38833.423832,996638
38833.455790,998733
38833.491734,1001088
38833.523734,1003185
38833.559914,1005556
38833.591759,1007643
38833.664675,1012422
38833.692658,1014256
38833.776668,1019761
38833.805271,1021636
38833.894521,1027485
38833.929407,1029771
38833.959867,1031767
38833.991855,1033864
38834.027732,1036215
38834.059672,1038308
38834.095924,1040684
38834.127857,1042777
38834.159942,1044879
38834.195743,1047225
38834.227798,1049326
38834.259779,1051422
38834.295942,1053792
38834.327830,1055882
38834.363815,1058240
38834.395918,1060344
38834.427748,1062430
38834.463862,1064797
38834.495827,1066891
38834.531767,1069247
38834.563726,1071341
38834.595701,1073437
38834.631856,1075806
38834.663931,1077908
38834.696199,1080023
38834.731849,1082359
38834.763695,1084446
38834.799863,1086816
38834.831824,1088911
38834.863848,1091010
38834.900175,1093390
38834.931730,1095458
38834.963750,1097557
38834.999839,1099922
38835.031887,1102022
38835.067739,1104372
38835.099773,1106471
38835.131820,1108571
38835.167876,1110934
38835.199892,1113032
38835.231891,1115129
38835.267919,1117491
38835.299687,1119572
38835.335777,1121938
38835.367897,1124043
38835.399776,1126132
38835.435631,1128482
38835.467691,1130583
38835.499737,1132683
38835.535795,1135046
38835.567863,1137147
38835.603581,1139488
38835.635763,1141597
38835.667871,1143701
38835.703816,1146057
38835.735875,1148158
38835.767877,1150255
38835.803709,1152604
38835.835684,1154699
38835.872123,1157087
38835.903844,1159166
38835.935879,1161265
38835.971778,1163618
38836.003700,1165710
38836.039843,1168079
38836.071788,1170172
38836.103875,1172275
