# timestamps [seconds],pts
4373.823999,1964346
4373.857912,1966568
4373.891779,1968788
4373.925564,1971002
4373.958846,1973183
4373.991345,1975313
4374.025802,1977571
4374.059667,1979790
4374.093584,1982013
4374.126993,1984203
4374.160138,1986375
4374.193125,1988537
4374.226616,1990731
4374.260118,1992927
4374.293751,1995131
4374.327411,1997337
4374.361171,1999549
4374.394523,2001735
4374.427737,2003912
4374.461580,2006130
4374.495967,2008383
4374.528719,2010530
4374.562405,2012737
4374.596670,2014983
4374.629776,2017152
4374.663327,2019351
4374.696284,2021511
4374.729841,2023710
4374.763166,2025894
4374.799335,2028264
4374.830516,2030308
4374.863943,2032499
4374.896829,2034654
4374.931041,2036896
4374.966013,2039188
4374.998474,2041315
4375.032460,2043542
4375.066033,2045743
4375.099535,2047938
4375.133587,2050170
4375.166672,2052338
4375.199600,2054496
4375.232515,2056653
4375.266721,2058895
4375.300256,2061092
4375.333707,2063285
4375.367653,2065509
4375.400007,2067630
4375.433854,2069848
4375.467573,2072057
4375.501121,2074256
4375.534580,2076449
4375.568384,2078664
4375.601790,2080853
4375.636108,2083102
4375.669812,2085311
4375.703051,2087490
4375.736392,2089675
4375.769839,2091866
4375.804131,2094114
4375.835909,2096196
4375.869681,2098410
4375.903604,2100633
4375.936828,2102810
4375.970829,2105038
4376.004950,2107274
4376.038588,2109479
4376.072625,2111710
4376.105673,2113875
4376.139166,2116070
4376.172100,2118229
4376.205493,2120417
4376.239281,2122631
4376.272376,2124800
4376.306494,2127036
4376.340207,2129246
4376.373524,2131429
4376.407158,2133633
4376.440349,2135808
4376.474184,2138026
4376.507886,2140234
4376.541923,2142465
4376.575516,2144667
4376.608353,2146818
4376.641582,2148996
4376.675631,2151228
4376.709397,2153440
4376.742145,2155587
4376.776351,2157828
4376.810925,2160094
4376.843016,2162197
4376.876364,2164383
4376.910891,2166645
4376.943584,2168788
4376.976999,2170978
4377.010944,2173202
4377.045621,2175475
4377.079236,2177678
4377.113484,2179922
4377.145804,2182040
4377.179576,2184254
4377.214137,2186519
4377.246606,2188646
4377.280005,2190835
4377.313480,2193029
4377.346898,2195219
4377.380628,2197430
4377.413673,2199595
4377.447017,2201780
4377.480359,2203965
4377.514252,2206187
4377.547668,2208377
4377.581619,2210601
4377.615648,2212832
4377.648585,2214990
4377.682781,2217231
