pupil_timestamp,world_index,eye_id,confidence,norm_pos_x,norm_pos_y,diameter,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,projected_sphere_angle
24129.907426,257,0,0.21058396826201953,0.4507530146842593,0.34316332871305255,76.81860744273777,3d c++,288.48192939792597,315.28160221773476,65.02248619675741,76.81860744273777,46.25492417425958,4.554914352542302,1.0,1,1.836763076415339,10.270189197402594,46.84132545277077,12.0,-1.916766054140622,4.437355831354785,37.04902878702441,-0.31279409421299675,-0.48606944717065076,-0.8160247221455297,2.277457176271151,1.0632098394697054,-1.936836406985976,344.311718260956,375.9380256822548,317.6682097735092,317.6682097735092,90.0
24129.939411,257,0,0.19535881881657105,0.4184691449810211,0.3681382767621124,74.66644742030938,3d c++,267.8202527878535,303.293627154186,54.92984023193088,74.66644742030938,43.52457557072557,4.543244118887912,1.0,1,1.836763076415339,10.270189197402594,46.84132545277077,12.0,-3.2416116791317178,3.82818963779129,38.08285803454113,-0.4231978962955881,-0.5368332966342754,-0.7298722848524697,2.271622059443956,1.0041171232735047,-2.0962488526694965,344.311718260956,375.9380256822548,317.6682097735092,317.6682097735092,90.0
24129.971285,258,0,0.2523716325718174,0.4116920773037423,0.31388690489214965,77.1040659434518,3d c++,263.48292947439506,329.33428565176814,61.17713256871422,77.1040659434518,30.369639151585332,4.566278290580983,1.0,1,1.836763076415339,10.270189197402594,46.84132545277077,12.0,-3.441882707909544,5.316840468824072,37.270524281671314,-0.4398871486937403,-0.41277906071487686,-0.7975667642582879,2.2831391452904914,1.1452932404248504,-2.074818395104248,344.311718260956,375.9380256822548,317.6682097735092,317.6682097735092,90.0
24130.003483,259,0,0.8169022641675165,0.40667780013942834,0.29998477862426964,86.76773585172658,3d c++,260.2737920892341,336.00730626035056,68.74797381842723,86.76773585172658,26.26651544152856,5.117777229807319,1.0,1,1.836763076415339,10.270189197402594,46.84132545277077,12.0,-3.6416429284410388,5.695977283526895,37.19437500131144,-0.45653383373803147,-0.3811843261563082,-0.8039125376216101,2.5588886149036596,1.179719321749985,-2.0872707827291346,344.311718260956,375.9380256822548,317.6682097735092,317.6682097735092,90.0
24130.039448,260,0,0.8252198766959528,0.404532234643018,0.3003006419511275,88.77714382404794,3d c++,258.90063017153153,335.8556918634588,69.77882249315265,88.77714382404794,26.068463453893813,5.24300855019753,1.0,1,1.836763076415339,10.270189197402594,46.84132545277077,12.0,-3.732620342960031,5.692259461346617,37.24838389870503,-0.4641152849479475,-0.3814941446713314,-0.7994117961721449,2.621504275098765,1.1793841781655106,-2.0968072621321125,344.311718260956,375.9380256822548,317.6682097735092,317.6682097735092,90.0
24130.071411,261,0,0.9274211002941777,0.3985036553794684,0.2797808705085285,90.9490624047556,3d c++,255.0423394428598,345.7051821559063,71.41667942100598,90.9490624047556,20.299839633228757,5.34026744881665,1.0,1,1.836763076415339,10.270189197402594,46.84132545277077,12.0,-3.957824725050231,6.266490955490117,37.12571159677518,-0.4828823167887975,-0.33364152015937304,-0.8096344879996319,2.670133724408325,1.2306325169520642,-2.1085794212733657,344.311718260956,375.9380256822548,317.6682097735092,317.6682097735092,90.0
24130.103433,261,0,0.27068345731779414,0.39523502954066314,0.27893837626303053,79.05682644400521,3d c++,252.95041890602442,346.1095793937453,61.508828593926125,79.05682644400521,19.697649169043316,4.647918060787354,1.0,1,1.836763076415339,10.270189197402594,46.84132545277077,12.0,-4.072379116781489,6.314988508607209,37.17497008728097,-0.49242851609973576,-0.32960005739961545,-0.8055296137908168,2.323959030393677,1.2349163968495935,-2.1194907132936667,344.311718260956,375.9380256822548,317.6682097735092,317.6682097735092,90.0
24130.135383,262,0,0.9229072329127518,0.3950786081030833,0.27382246050841996,89.39971014247234,3d c++,252.85030918597332,348.5652189559584,69.70239630560108,89.39971014247234,18.486486950341572,5.246582302458353,1.0,1,1.836763076415339,10.270189197402594,46.84132545277077,12.0,-4.088878856618586,6.44324864727323,37.133529940542175,-0.4938034944194938,-0.3189117125107803,-0.8089829593523824,2.6232911512291763,1.2462153053494995,-2.1188280792097745,344.311718260956,375.9380256822548,317.6682097735092,317.6682097735092,90.0
24130.167335000002,263,0,0.9174759970737385,0.394393514374458,0.27547057716524104,88.46237576410203,3d c++,252.41184919965312,347.7741229606843,68.71506191644407,88.46237576410203,18.825221724540867,5.19699480952666,1.0,1,1.836763076415339,10.270189197402594,46.84132545277077,12.0,-4.117453336562733,6.402490052337025,37.16722548271249,-0.496184701081506,-0.3223082620887974,-0.8061749975048565,2.59849740476333,1.2426294612578395,-2.1225205931408544,344.311718260956,375.9380256822548,317.6682097735092,317.6682097735092,90.0
24130.199542000002,264,0,0.8135736630577244,0.39404754213315824,0.27604358277793783,88.32472979634402,3d c++,252.19042696522126,347.49908026658983,68.48837062780969,88.32472979634402,18.93352351005973,5.1911524439757475,1.0,1,1.836763076415339,10.270189197402594,46.84132545277077,12.0,-4.132163401815927,6.38856492498793,37.1818787965036,-0.49741053985260547,-0.32346868936788864,-0.8049538880222643,2.5955762219878737,1.2414033602569108,-2.124300275409723,344.311718260956,375.9380256822548,317.6682097735092,317.6682097735092,90.0
