world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans
22,24119.96087,"[[ 2.01568137e-03  1.65677189e-04 -1.44288037e+00]
 [ 8.97783403e-05 -3.70124782e-03  2.79204930e+00]
 [-5.31328670e-05  5.14930904e-05  9.95011416e-01]]","[[ 5.11885613e+02  3.19914289e+01  6.52523225e+02]
 [ 3.17949172e+01 -2.58040893e+02  7.70181271e+02]
 [ 2.56888828e-02  1.50622587e-02  1.00000000e+00]]",4,"[[ 2.31954719e-03  7.47449714e-05 -1.64721937e+00]
 [ 2.08853894e-04 -4.26894355e-03  3.04343084e+00]
 [ 5.88151066e-05 -1.06411723e-04  1.03908271e+00]]","[[ 4.14608133e+02 -9.84280273e+00  6.86092098e+02]
 [ 3.83325183e+00 -2.52790594e+02  7.46490041e+02]
 [-2.30754668e-02 -2.53309740e-02  1.00000000e+00]]"
23,24120.001894,"[[ 2.01614814e-03  1.65324100e-04 -1.44283630e+00]
 [ 8.95674266e-05 -3.70202551e-03  2.79282389e+00]
 [-5.28362816e-05  5.06242409e-05  9.95484536e-01]]","[[ 5.11683139e+02  3.17731691e+01  6.52484413e+02]
 [ 3.16535404e+01 -2.58176663e+02  7.70190598e+02]
 [ 2.55483607e-02  1.48156733e-02  1.00000000e+00]]",4,"[[ 2.32004028e-03  7.43377218e-05 -1.64717810e+00]
 [ 2.08637517e-04 -4.26970781e-03  3.04419209e+00]
 [ 5.91166964e-05 -1.07358182e-04  1.03958515e+00]]","[[ 4.14447996e+02 -1.00346341e+01  6.86059260e+02]
 [ 3.72264705e+00 -2.52913319e+02  7.46498340e+02]
 [-2.31834206e-02 -2.55477869e-02  1.00000000e+00]]"
24,24120.051745,"[[ 2.01533988e-03  1.63508698e-04 -1.44162117e+00]
 [ 8.79820409e-05 -3.70312854e-03  2.79624499e+00]
 [-5.47719883e-05  4.91888017e-05  9.97849757e-01]]","[[ 5.12569212e+02  3.13032894e+01  6.52802645e+02]
 [ 3.22233925e+01 -2.58383052e+02  7.70613244e+02]
 [ 2.65464862e-02  1.44551782e-02  1.00000000e+00]]",4,"[[ 2.31901806e-03  7.22429665e-05 -1.64560231e+00]
 [ 2.06937632e-04 -4.27175589e-03  3.04842511e+00]
 [ 5.68114472e-05 -1.09302820e-04  1.04264299e+00]]","[[ 4.15343196e+02 -1.05375405e+01  6.86344828e+02]
 [ 4.29146740e+00 -2.53133661e+02  7.46872191e+02]
 [-2.21813015e-02 -2.59624533e-02  1.00000000e+00]]"
25,24120.094215,"[[ 2.01547519e-03  1.65516990e-04 -1.44358177e+00]
 [ 8.84686529e-05 -3.70209569e-03  2.79539280e+00]
 [-5.43841910e-05  5.19922438e-05  9.95440797e-01]]","[[ 5.12371822e+02  3.20777699e+01  6.52957620e+02]
 [ 3.21142945e+01 -2.57857938e+02  7.70687556e+02]
 [ 2.63152092e-02  1.52205299e-02  1.00000000e+00]]",4,"[[ 2.31921380e-03  7.39660293e-05 -1.64738183e+00]
 [ 2.07365773e-04 -4.27172496e-03  3.04836424e+00]
 [ 5.71487857e-05 -1.07048787e-04  1.04072649e+00]]","[[ 4.15159772e+02 -1.00149163e+01  6.86497156e+02]
 [ 4.19261637e+00 -2.52743065e+02  7.46939534e+02]
 [-2.23661668e-02 -2.54471260e-02  1.00000000e+00]]"
26,24120.135551,"[[ 2.01578994e-03  1.65446996e-04 -1.44376149e+00]
 [ 8.85275414e-05 -3.70212280e-03  2.79523697e+00]
 [-5.42578146e-05  5.21340341e-05  9.95251850e-01]]","[[ 5.12249970e+02  3.20876497e+01  6.52974615e+02]
 [ 3.20662664e+01 -2.57829807e+02  7.70650615e+02]
 [ 2.62464421e-02  1.52551474e-02  1.00000000e+00]]",4,"[[ 2.31955920e-03  7.39480813e-05 -1.64762226e+00]
 [ 2.07435604e-04 -4.27156375e-03  3.04806556e+00]
 [ 5.73399955e-05 -1.06767089e-04  1.04038113e+00]]","[[ 4.15037809e+02 -9.97408165e+00  6.86505323e+02]
 [ 4.13524333e+00 -2.52703603e+02  7.46909420e+02]
 [-2.24501939e-02 -2.53834999e-02  1.00000000e+00]]"
27,24120.175713,"[[ 2.01616175e-03  1.65056614e-04 -1.44307024e+00]
 [ 8.98951119e-05 -3.70257299e-03  2.79345932e+00]
 [-5.33410886e-05  5.13664002e-05  9.95247003e-01]]","[[ 5.11838876e+02  3.18720641e+01  6.52688363e+02]
 [ 3.18823020e+01 -2.57974525e+02  7.70311029e+02]
 [ 2.57869290e-02  1.50227162e-02  1.00000000e+00]]",4,"[[ 2.31991994e-03  7.38983024e-05 -1.64718767e+00]
 [ 2.08953459e-04 -4.27083286e-03  3.04525922e+00]
 [ 5.84057341e-05 -1.06883783e-04  1.03972044e+00]]","[[ 4.14673429e+02 -9.99896786e+00  6.86236777e+02]
 [ 3.96965329e+00 -2.52762703e+02  7.46610994e+02]
 [-2.28859735e-02 -2.54224460e-02  1.00000000e+00]]"
28,24120.217713000002,"[[ 2.01621059e-03  1.64754575e-04 -1.44287354e+00]
 [ 8.96331987e-05 -3.70316789e-03  2.79361551e+00]
 [-5.31199746e-05  5.11769001e-05  9.95255841e-01]]","[[ 5.11763079e+02  3.17885972e+01  6.52700805e+02]
 [ 3.17605268e+01 -2.57982281e+02  7.70183599e+02]
 [ 2.56812725e-02  1.49623266e-02  1.00000000e+00]]",4,"[[ 2.32008715e-03  7.36959421e-05 -1.64714425e+00]
 [ 2.08705674e-04 -4.27123485e-03  3.04524560e+00]
 [ 5.88555321e-05 -1.06882318e-04  1.03939855e+00]]","[[ 4.14511334e+02 -1.00202480e+01  6.86237321e+02]
 [ 3.79836343e+00 -2.52738968e+02  7.46497754e+02]
 [-2.30809512e-02 -2.54219902e-02  1.00000000e+00]]"
29,24120.257778,"[[ 2.01609465e-03  1.65201607e-04 -1.44287979e+00]
 [ 8.92418899e-05 -3.70245826e-03  2.79252898e+00]
 [-5.30594562e-05  5.12781181e-05  9.95143580e-01]]","[[ 5.11772385e+02  3.18731830e+01  6.52588488e+02]
 [ 3.16848064e+01 -2.58013228e+02  7.69966063e+02]
 [ 2.56542148e-02  1.49944258e-02  1.00000000e+00]]",4,"[[ 2.31972887e-03  7.43770157e-05 -1.64713422e+00]
 [ 2.08099301e-04 -4.26955388e-03  3.04363734e+00]
 [ 5.87846445e-05 -1.06389826e-04  1.03906635e+00]]","[[ 4.14583493e+02 -9.87487666e+00  6.86125768e+02]
 [ 3.76119223e+00 -2.52747780e+02  7.46312079e+02]
 [-2.30697400e-02 -2.53201358e-02  1.00000000e+00]]"
30,24120.30269,"[[ 2.01483873e-03  1.64588306e-04 -1.44114468e+00]
 [ 9.13050028e-05 -3.72116818e-03  2.80467029e+00]
 [-5.43242173e-05  3.40519702e-05  1.00923023e+00]]","[[ 5.12609411e+02  2.86427922e+01  6.52389036e+02]
 [ 3.25466403e+01 -2.60249703e+02  7.69714385e+02]
 [ 2.64942795e-02  1.03227312e-02  1.00000000e+00]]",3,"[[ 2.31610410e-03  7.37663437e-05 -1.64374007e+00]
 [ 2.10810143e-04 -4.28839215e-03  3.05495013e+00]
 [ 5.55780973e-05 -1.23596915e-04  1.05409206e+00]]","[[ 4.16446905e+02 -1.26061296e+01  6.85937773e+02]
 [ 5.26994774e+00 -2.54600418e+02  7.46096127e+02]
 [-2.13396705e-02 -2.91883439e-02  1.00000000e+00]]"
31,24120.345034,"[[ 2.01322586e-03  1.66265328e-04 -1.44040459e+00]
 [ 8.89494493e-05 -3.71354400e-03  2.80213350e+00]
 [-5.51651212e-05  4.04360558e-05  1.00481691e+00]]","[[ 5.13248314e+02  3.00775240e+01  6.51864019e+02]
 [ 3.25668408e+01 -2.59440042e+02  7.70185151e+02]
 [ 2.68671144e-02  1.20917176e-02  1.00000000e+00]]",3,"[[ 2.31525344e-03  7.51489866e-05 -1.64333228e+00]
 [ 2.08753556e-04 -4.28136246e-03  3.05272815e+00]
 [ 5.48623177e-05 -1.16526115e-04  1.04937018e+00]]","[[ 4.16696083e+02 -1.13447403e+01  6.85556486e+02]
 [ 5.19534208e+00 -2.53795603e+02  7.46454086e+02]
 [-2.12084547e-02 -2.75893269e-02  1.00000000e+00]]"
